sinistro	data	horario	uf_ocorrencia	mercadoria	origem_uf	destino_uf	faixa_valor_carga	vinculo_motorista	local_ocorrencia
Acidente	2018-12-15	Manhã	TO	Calçados	CE	SP	2	S/Comprovação	BR 153
Acidente	2018-12-17	Tarde	SP	Frigorífico	GO	EX	3	S/Comprovação	SP 150
Acidente	2018-12-19	Madrugada	MG	Vidro	SP	PE	1	S/Comprovação	BR 381
Acidente	2018-12-20	Noite	MG	Frigorífico	SP	MG	2	S/Comprovação	BR 262
Acidente	2018-12-20	Noite	MG	Veículo	MG	SP	3	S/Comprovação	BR 381
Acidente	2018-12-24	Manhã	MG	Veículo	GO	PR	3	S/Comprovação	BR 153
Acidente	2018-12-25	Manhã	PR	Hig/Limp/Cosm	SP	RS	1	S/Comprovação	BR 376
Acidente	2018-12-26	Tarde	SC	Bebidas	PR	RS	1	S/Comprovação	BR 101
Acidente	2018-12-28	Manhã	TO	Frigorífico	PA	RJ	2	S/Comprovação	BR 153
Acidente	2019-01-03	Tarde	MG	Calçados	CE	MG	1	S/Comprovação	BR 116
Acidente	2019-01-08	Manhã	MG	Fraldas	GO	SP	1	S/Comprovação	MG 455
